rank,action_label,action,expected_positive_clv_prob,threshold,edge_vs_threshold,prior_positive_clv_prob,matched_feature_groups,matched_training_rows,league,game,event_date_et,event_time_et,event_datetime_et,event_status,minutes_to_event,event_age_minutes,started,market,market_family,pick,entry_odds,entry_odds_source,source_count,opposing_count,has_lock,handicappers,primary_capper,consensus_score,suggested_units,model_score_band,source_count_bucket,suggested_units_bucket,support_status,diagnostic_reason,data_quality_flags,notes,row_key
1,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Atlanta Braves @ Chicago Cubs,2026-09-15,19:40,,,,,No,Prop,prop,Martin Perez (ATL) Under 15.5 Outs,-147,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -147 DK/-160 ScoreBet,MLB|Atlanta Braves @ Chicago Cubs|Prop|Martin Perez (ATL) Under 15.5 Outs|19:40|Caruso
2,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Seattle Mariners @ Los Angeles Angels,2026-09-15,21:38,,,,,No,Prop,prop,Ryan Johnson (LAA) Under 15.5 Outs,-115,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -115,MLB|Seattle Mariners @ Los Angeles Angels|Prop|Ryan Johnson (LAA) Under 15.5 Outs|21:38|Caruso
3,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Boston Red Sox @ Texas Rangers,2026-09-15,20:05,,,,,No,Prop,prop,Patrick Sandoval (BOS) Under 16.5 Outs,-114,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -114,MLB|Boston Red Sox @ Texas Rangers|Prop|Patrick Sandoval (BOS) Under 16.5 Outs|20:05|Caruso
4,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Atlanta Braves @ Chicago Cubs,2026-09-15,19:40,,,,,No,Prop,prop,Kevin Gausman (CHC) Over 17.5 Outs,-120,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -120,MLB|Atlanta Braves @ Chicago Cubs|Prop|Kevin Gausman (CHC) Over 17.5 Outs|19:40|Caruso
5,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Philadelphia Phillies @ Washington Nationals,2026-09-15,18:45,,,,,No,Prop,prop,Cristopher Sanchez (PHI) Under 18.5 Outs,-175,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -175,MLB|Philadelphia Phillies @ Washington Nationals|Prop|Cristopher Sanchez (PHI) Under 18.5 Outs|18:45|Caruso
6,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Oakland Athletics @ Tampa Bay Rays,2026-09-15,18:40,,,,,No,Prop,prop,Jack Perkins (ATH) Over 4.5 Hits Allowed,-140,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -140,MLB|Oakland Athletics @ Tampa Bay Rays|Prop|Jack Perkins (ATH) Over 4.5 Hits Allowed|18:40|Caruso
7,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Los Angeles Dodgers @ Cincinnati Reds,2026-09-15,18:40,,,,,No,Prop,prop,Yoshinobu Yamamoto (LAD) Over 7.5 Strikeouts,-104,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -104,MLB|Los Angeles Dodgers @ Cincinnati Reds|Prop|Yoshinobu Yamamoto (LAD) Over 7.5 Strikeouts|18:40|Caruso
8,clv_shadow_watch,Shadow watch: candidate only if current price still beats or matches listed entry.,0.3603,0.36,0.0003,0.3107,7,609,MLB,Milwaukee Brewers @ Pittsburgh Pirates,2026-09-15,18:40,,,,,No,Prop,prop,Jacob Misiorowski (MIL) Over 17.5 Outs,-114,explicit_american,1,0,No,Caruso,Caruso,3.8,0.5,score_under_6,sources_1,units_under_1,strong_support,CLV gate cleared; live price check required,ok,Odds: -114,MLB|Milwaukee Brewers @ Pittsburgh Pirates|Prop|Jacob Misiorowski (MIL) Over 17.5 Outs|18:40|Caruso
9,price_unverified_watch,"Blocked watch: CLV signal clears, but entry odds are missing; verify price first.",0.3698,0.36,0.0098,0.3107,4,222,MLB,Seattle Mariners @ Los Angeles Angels,2026-09-15,21:38,,,,,No,Prop,prop,Logan Gilbert Over 4.5 Strikeouts,,missing,1,0,No,SecuredTys,SecuredTys,6.3,0.5,score_6_to_6_99,sources_1,units_under_1,strong_support,missing entry odds,missing_entry_odds,,MLB|Seattle Mariners @ Los Angeles Angels|Prop|Logan Gilbert Over 4.5 Strikeouts|21:38|SecuredTys
10,pass_or_monitor,Monitor only; CLV thesis does not elevate it.,0.3544,0.36,-0.0056,0.3107,7,572,MLB,San Francisco Giants @ St. Louis Cardinals,2026-09-15,19:45,,,,,No,Prop,prop,Andre Pallante Over 16.5 Outs Recorded,,missing,1,0,No,Matthewp07,Matthewp07,5.8,0.5,score_under_6,sources_1,units_under_1,strong_support,below CLV watch threshold,missing_entry_odds,Mix & Match,MLB|San Francisco Giants @ St. Louis Cardinals|Prop|Andre Pallante Over 16.5 Outs Recorded|19:45|Matthewp07
